Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37140.02466,38562.96062,38669.3749,39051.99597,39944.11143,39113.47165,38209.19543,39824.29092,39767.78939,39478.49433,41621.23267,39495.5578,37360.47577,37303.33269,39553.37407,39515.8146,39612.97675,40171.52345,40081.23237,35830.49796,34437.49417,35492.61849,34830.97655,36082.52249,36172.93335,35814.26144,35557.65686,35861.82812,,
Afghanistan,AFG,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016.245409,1055.557459,1025.208245,1099.104568,1123.871323,1247.753118,1267.644939,1502.354073,1671.581238,1626.764793,1772.764974,1807.762344,1795.735834,1766.593077,1757.02349,1758.465636,1734.723214,
Angola,AGO,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4761.229638,4651.204299,4238.318419,3118.903488,3060.336207,3407.974524,3747.164004,3892.47342,3945.59493,3902.774196,3892.316925,3924.316196,4314.540938,4295.908569,4604.657044,5112.589202,5500.242536,6044.217156,6474.376423,6292.534856,6360.441938,6346.395122,6645.085625,6730.945822,6813.052106,6644.857255,6258.376628,6044.972035,5725.327238,
Albania,ALB,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4458.246876,3229.249947,3015.391215,3323.86421,3622.006907,4129.975118,4533.894114,4064.132585,4450.922285,5056.566244,5442.577755,5949.342917,6238.119389,6607.767273,7001.053706,7426.115045,7914.035429,8450.917782,9154.713258,9525.370695,9927.629583,10207.75172,10369.56056,10492.66847,10700.52092,10971.0444,11356.71701,11803.2818,12306.26004,
Andorra,AND,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39134,,
Arab World,ARB,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10488.17098,10240.53903,10570.27242,10614.38209,10652.90911,10609.40715,10847.56257,11063.42177,11461.70544,11479.47809,11828.16096,11784.10558,11598.05185,11853.14713,12659.45057,13069.89642,13552.49671,13833.6991,14295.25334,14085.31175,14420.60787,14516.43078,15130.49896,15256.02535,15285.04597,15450.31762,15663.24338,15544.77988,15606.98552,
United Arab Emirates,ARE,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112349.598,106956.142,104302.0874,99773.31813,101017.7485,102387.2248,103032.4329,105953.2261,100904.4748,98483.11767,103318.1502,99413.78681,96679.29635,98580.52198,98543.24745,91624.93617,87120.06514,77235.85441,69351.01966,58843.46942,55362.98982,56574.28818,57851.69387,60403.04558,62948.6779,65788.94545,67045.10429,66675.97347,66615.92693,
Argentina,ARG,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11372.82311,12238.78885,13032.79329,13919.4039,14546.53879,13959.99966,14556.73357,15556.01756,15973.06726,15261.44199,14975.30332,14159.58484,12480.99766,13439.10713,14498.77233,15619.45134,16705.86968,18029.68258,18575.88772,17302.65415,18911.82319,19817.45048,19392.30979,19637.75538,18935.0025,19243.57947,18645.09185,18945.14402,18282.09393,
Armenia,ARM,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3742.431024,3335.595238,1976.525218,1845.31422,1992.015239,2173.358777,2336.512137,2441.179496,2639.946771,2744.425763,2924.744521,3224.107456,3669.345425,4206.799475,4673.816503,5356.596456,6110.624823,7011.674125,7559.926549,6534.077152,6702.82937,7019.767748,7505.124574,7717.060964,7954.195331,8171.832354,8158.634794,8744.731368,9177.744159,
American Samoa,ASM,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17472.94648,17616.92668,17515.82195,18074.53103,18871.80732,17663.77137,18427.11185,19020.30773,19506.70986,19837.17735,20790.986,19454.89091,19382.2668,20295.90714,21183.42686,22229.39378,24683.45353,26544.68897,26110.65881,22592.41333,20660.41828,19953.19277,20388.79866,20121.25014,20820.55106,21426.32493,22393.99615,22855.74802,23768.47843,
Australia,AUS,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28669.49548,28194.29299,27969.37191,28813.10351,29644.63933,30411.70117,31178.93687,32055.02118,33174.49984,34461.67809,35392.58953,35592.78701,36567.93785,37197.97616,38260.38737,38968.6137,39470.99955,40733.13588,41385.39261,41326.39471,41529.78444,41965.35842,42847.77219,43218.26099,43672.13037,44053.73118,44605.64968,44888.01999,45439.30716,
Austria,AUT,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31341.90238,32098.49154,32411.80246,32314.97087,32964.10161,33791.80147,34539.08559,35222.25938,36443.70926,37666.41162,38844.40471,39186.337,39638.02687,39816.77412,40652.8107,41282.87999,42498.00733,43939.42529,44441.78853,42656.85416,43336.19785,44452.73275,44551.61757,44301.10403,44246.89327,44253.75425,44670.65457,45493.04535,46473.25716,
Azerbaijan,AZE,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8789.71453,8593.740529,6551.538525,4962.174643,3931.127241,3427.551085,3437.222676,3601.669127,3924.410643,4177.989708,4603.769866,5020.494928,5453.530244,5964.878379,6460.055025,8182.311814,10882.23467,13499.26835,14618.81542,15660.00236,16215.8472,15754.15236,15888.67487,16600.87997,16853.56847,16828.99016,16131.97213,15929.39963,16010.98904,
